Attempted murder  [1210],1,Violent
"Sexual offence which occurred prior to January 4, 1983  [1300] 11",2,Sexual
"Sexual assault, level 1  [1330]",2,Sexual
Total sexual violations against children  [130] 12 13 14,2,Sexual
Sexual interference  [1345] 12 13,2,Sexual
Invitation to sexual touching  [1350] 12 13,2,Sexual
Making sexually explicit material available to children  [1367] 13 15,2,Sexual
Luring a child via a computer  [1370] 12 13,2,Sexual
"Assault, level 3, aggravated  [1410]",1,Violent
"Assault, level 2, weapon or bodily harm  [1420]",1,Violent
"Assault, level 1  [1430]",1,Violent
Total assaults against a peace officer  [135] 19 20,1,Violent
Total other assaults  [140],1,Violent
Other assaults  [1480],1,Violent
"Total firearms, use of, discharge, pointing  [150]",3,Firearms / Weapons
Discharge firearm with intent  [1450],3,Firearms / Weapons
Using firearm in commission of offence  [1455],3,Firearms / Weapons
Pointing a firearm  [1457],3,Firearms / Weapons
Total robbery  [160] 21,4,Property
Robbery  [1610] 21,4,Property
Total forcible confinement or kidnapping  [510] 22,1,Violent
Forcible confinement  [1516] 22,1,Violent
Extortion  [1620],4,Property
Criminal harassment  [1625] 23,1,Violent
Uttering threats  [1627],1,Violent
Indecent/Harassing communications  [1626] 24,1,Violent
Total offences in relation to sexual services  [190] 16,2,Sexual
Obtaining sexual services for consideration  [1711] 16,2,Sexual
Total other violent violations  [180] 25,1,Violent
Voyeurism  [1385],2,Sexual
Non-consensual distribution of intimate images  [1390] 24,2,Sexual
Trafficking in persons  [1525] 26,1,Violent
Intimidation of a justice system participant or a journalist  [1621],1,Violent
Other violent violations  [1630],1,Violent
Total property crime violations  [200],4,Property
Total breaking and entering  [210],4,Property
Breaking and entering  [2120],4,Property
Breaking and entering to steal a firearm  [2121],4,Property
Total possession of stolen property  [211] 28 29,4,Property
Total theft of motor vehicle  [220] 29 31,4,Property
"Total theft over $5,000 (non-motor vehicle)  [230]",4,Property
"Theft over $5,000  [2130]",4,Property
"Theft over $5,000 from a motor vehicle  [2132]",4,Property
"Shoplifting over $5,000  [2133] 32",4,Property
"Total theft under $5,000 (non-motor vehicle)  [240]",4,Property
"Theft $5,000 or under  [2140]",4,Property
"Theft $5,000 or under from a motor vehicle  [2142]",4,Property
"Shoplifting $5,000 or under  [2143] 32",4,Property
Fraud  [2160] 33,4,Property
Identity theft  [2165] 33,4,Property
Identity fraud  [2166] 33,4,Property
Total mischief  [250] 34,4,Property
Mischief  [2170],4,Property
Arson  [2110],4,Property
Total other Criminal Code violations  [300],5,Other Criminal Code
Counterfeiting  [3420] 37,5,Other Criminal Code
Total weapons violations  [310],3,Firearms / Weapons
Weapons possession contrary to order  [3370],3,Firearms / Weapons
Possession of weapons  [3375],3,Firearms / Weapons
Unsafe storage of firearms  [3395],3,Firearms / Weapons
