"Incident-based crime statistics, by detailed violations, police services in the Atlantic provinces c 1 2 3 4 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 35-10-0178-01 (formerly CANSIM 252-0075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2025-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Province or territory, Policing district/zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violations,"Total, all violations  [0]",,,,,"Total, all Criminal Code violations (including traffic)  [25]",,,,,"Total, all Criminal Code violations (excluding traffic)  [50]",,,,,Total violent Criminal Code violations  [100] 8,,,,,Total property crime violations  [200],,,,,Total other Criminal Code violations  [300],,,,,Total Criminal Code traffic violations  [900] 9,,,,,Total impaired driving  [910] 9 10 11,,,,,Total other Criminal Code traffic violations  [920] 9,,,,,Total Federal Statute violations  [400],,,,,Total Drug violations  [401],,,,,"Possession, cannabis (pre-legalization)  [4140] 12",,,,,"Possession, cocaine  [4120] 13",,,,,"Total, possession, other Controlled Drugs and Substances Act drugs  [410] 13",,,,,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 12 14 15",,,,,"Total cocaine, trafficking, production or distribution  [430]",,,,,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440]",,,,,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 14 16",,,,,Total Cannabis Act  [450] 12 15,,,,,Youth Criminal Justice Act  [6450],,,,,Total other Federal Statutes  [610],,,,,Bankruptcy Act  [6100],,,,,Income Tax Act  [6150],,,,,Canada Shipping Act  [6200],,,,,Canada Health Act  [6250],,,,,Customs Act  [6300],,,,,Competition Act  [6350],,,,,Excise Act  [6400],,,,,Total Immigration and Refugee Protection Act  [620] 17,,,,,Firearms Act  [6550],,,,,National Defence Act  [6560],,,,,Quarantine Act  [6600],,,,,Other federal statutes  [6900],,,,
Geography 6 7,Statistics,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024
Newfoundland and Labrador [10],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual incidents,35290,38075,39579,42728,45553,34140,36936,38493,41441,44176,31430,34443,36325,38967,41532,8742,9515,9541,10213,10306,16414,17504,19513,21342,22753,6274,7424,7271,7412,8473,2710,2493,2168,2474,2644,2277,2068,1777,1957,2004,433,425,391,517,640,1150,1139,1086,1287,1377,922,896,865,992,1137,0,0,0,0,0,113,88,105,145,191,62,84,80,80,99,0,0,0,0,0,452,445,445,539,626,200,212,189,192,193,0,0,0,0,1,95,67,46,36,27,29,4,8,1,7,199,239,213,294,233,0,0,0,0,0,1,0,0,0,0,9,0,1,4,3,0,1,0,0,0,5,3,3,6,3,0,0,0,0,0,45,78,68,116,92,1,0,1,2,1,51,38,18,12,17,0,0,0,0,0,5,7,0,0,0,82,112,122,154,117
"Natuashish, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10006] 18",,802,858,772,903,973,751,780,678,781,869,716,723,651,753,855,235,177,173,230,231,383,438,367,354,405,98,108,111,169,219,35,57,27,28,14,33,55,26,27,11,2,2,1,1,3,51,78,94,122,104,7,15,16,22,26,0,0,0,0,0,2,2,1,7,3,0,0,1,0,1,0,0,0,0,0,4,11,14,11,21,0,1,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,1,0,0,44,63,77,100,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,63,77,100,78
"Makkovik, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10007] 18",,53,16,31,23,35,49,16,31,23,35,40,14,29,23,29,12,6,13,15,11,23,6,10,7,13,5,2,6,1,5,9,2,2,0,6,9,2,2,0,6,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rigolet, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10008] 18",,29,23,25,31,19,29,23,25,31,19,22,17,18,26,18,14,12,9,11,5,4,5,9,11,9,4,0,0,4,4,7,6,7,5,1,7,6,7,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sheshatshiu, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10009] 18",,2894,3290,2322,2164,2254,2835,3239,2277,2129,2200,2703,3158,2217,2034,2130,501,530,420,469,407,1783,2147,1455,1216,1423,419,481,342,349,300,132,81,60,95,70,126,78,53,86,63,6,3,7,9,7,59,51,45,35,54,59,49,41,31,53,0,0,0,0,0,3,5,2,6,9,0,1,2,1,1,0,0,0,0,0,47,40,30,22,42,5,1,4,1,0,0,0,0,0,0,4,2,3,1,1,0,0,0,0,0,0,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1
"Bay St. George, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10010] 18",,1687,1945,1815,2067,2048,1601,1841,1741,1988,1938,1453,1713,1647,1885,1805,368,445,448,412,413,766,873,883,1040,975,319,395,316,433,417,148,128,94,103,133,124,103,86,88,115,24,25,8,15,18,86,104,74,79,110,70,80,65,66,97,0,0,0,0,0,6,8,6,8,11,6,6,4,5,4,0,0,0,0,0,17,17,25,21,47,35,43,28,29,31,0,0,0,0,0,6,6,2,3,4,0,0,0,0,0,16,24,9,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,5,8,6,0,0,0,0,0,1,5,2,0,1,0,0,0,0,0,0,1,0,0,0,6,9,2,5,6
"Channel-Port aux Basques, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10011] 18",,322,397,301,378,407,297,388,286,357,371,277,360,274,334,337,89,103,91,112,108,132,195,140,150,153,56,62,43,72,76,20,28,12,23,34,17,24,11,20,25,3,4,1,3,9,25,9,15,21,36,20,8,8,16,29,0,0,0,0,0,3,0,1,2,4,1,2,1,1,1,0,0,0,0,0,11,4,5,9,15,1,0,1,4,8,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,5,1,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1
"Corner Brook, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10012] 18",,380,377,449,528,..,365,354,420,485,..,328,333,392,441,..,92,99,139,133,..,161,168,182,201,..,75,66,71,107,..,37,21,28,44,..,35,19,22,37,..,2,2,6,7,..,15,23,29,43,..,13,20,25,40,..,0,0,0,0,..,1,2,2,6,..,1,1,2,3,..,0,0,0,0,..,7,14,15,25,..,3,1,4,5,..,0,0,0,0,..,1,2,2,1,..,0,0,0,0,..,2,3,4,3,..,0,0,0,0,..,0,0,0,0,..,0,0,0,2,..,0,0,0,0,..,0,0,0,0,..,0,0,0,0,..,1,3,2,0,..,0,0,0,0,..,0,0,0,0,..,0,0,0,0,..,0,0,0,0,..,1,0,2,1,..
